matureform	total copies	rno_Cortex-adult,rno_Cortex-embryo,rno_Glioma-C6,rno_Hippocamp-adult,rno_Neurobl-B35,rno_Neurobl-B35-dcAMP,rno_Neurobl-B35-noFBS,rno_Neurobl-B35-RA,rno_Pheochrom-PC12,rno_Pheochrom-PC12-NGF,rno_Striatum-adult,rno_Striatum-embryo,rno_Thyroid-FRTL5,rno_Thyroid-FRTL5-Ras,rno_Thyroid-FRTL5-Ras-tamox-48h,rno_Thyroid-FRTL5-Ras-tamox-7d
rno-miR-290-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-290-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-291a-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-291a-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-291b-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-291b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-292-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-292-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-293-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-294-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-295-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-296	1.000	0.00000,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-297-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-297c-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-298	3.000	0.00000,0.00000,0.00000,0.00000,0.00312,0.00000,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-299-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-299-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-29a	151.000	0.01467,0.00000,0.01235,0.00727,0.01090,0.00000,0.01329,0.00593,0.01386,0.01072,0.03008,0.00000,0.00639,0.01049,0.02053,0.01283
rno-miR-29b	592.000	0.03894,0.00000,0.05467,0.03273,0.04050,0.00784,0.04236,0.04745,0.07279,0.07351,0.05263,0.00000,0.03453,0.03298,0.07461,0.07305
rno-miR-29c	22.000	0.00169,0.00000,0.00000,0.00364,0.00000,0.00000,0.00083,0.00119,0.00173,0.00306,0.00251,0.00000,0.00639,0.00300,0.00100,0.00197
rno-miR-300-3p	9.000	0.00226,0.00159,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00166,0.00000,0.00000,0.00000,0.00000
rno-miR-300-5p	3.000	0.00113,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-301a	14.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00332,0.00000,0.00000,0.00000,0.00125,0.00000,0.00128,0.00750,0.00200,0.00000
rno-miR-301b	3.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00000,0.00119,0.00000,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-302c	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-30a	355.000	0.01354,0.00952,0.01058,0.00606,0.01246,0.08824,0.03821,0.01186,0.15078,0.13629,0.01253,0.00166,0.01151,0.00900,0.01302,0.00494
rno-miR-30b-3p	5.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00332,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00150,0.00050,0.00000
rno-miR-30b-5p	8.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00128,0.00900,0.00000,0.00000
rno-miR-30c	7.500	0.00113,0.00000,0.00000,0.00121,0.00000,0.00000,0.00083,0.00000,0.00087,0.00000,0.00063,0.00000,0.00000,0.00225,0.00100,0.00049
rno-miR-30c-3p	5.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00083,0.00000,0.00000,0.00100,0.00000
rno-miR-30c-5p	7.500	0.00113,0.00000,0.00000,0.00121,0.00000,0.00000,0.00083,0.00000,0.00087,0.00000,0.00063,0.00000,0.00000,0.00225,0.00100,0.00049
rno-miR-30d	274.000	0.01242,0.00238,0.02293,0.00606,0.01246,0.02941,0.02990,0.01542,0.12652,0.09188,0.01629,0.00166,0.00895,0.00900,0.00751,0.01185
rno-miR-30e	244.000	0.00903,0.01429,0.02293,0.00848,0.02960,0.07451,0.04651,0.03559,0.01213,0.01991,0.01253,0.00498,0.01407,0.00750,0.00751,0.01579
rno-miR-31	6.000	0.00000,0.00000,0.01058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-32	41.000	0.00113,0.00079,0.00176,0.00121,0.00623,0.00000,0.00831,0.00237,0.00000,0.00306,0.00125,0.00000,0.00384,0.00300,0.00501,0.00790
rno-miR-320	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00196,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00099
rno-miR-322	57.000	0.00226,0.00000,0.00529,0.00000,0.00467,0.00000,0.00332,0.00000,0.01733,0.03522,0.00251,0.00249,0.00000,0.00000,0.00451,0.00000
rno-miR-323-3p	5.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00376,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-323-5p	1.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-324-3p	10.000	0.00226,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00119,0.00173,0.00000,0.00000,0.00166,0.00128,0.00000,0.00000,0.00197
rno-miR-324-5p	28.000	0.00113,0.00000,0.00000,0.00000,0.00312,0.00392,0.00000,0.00237,0.00347,0.00000,0.00501,0.00000,0.00512,0.00750,0.00150,0.00296
rno-miR-325	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-326	11.000	0.00226,0.00000,0.00000,0.00364,0.00156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00501,0.00000,0.00128,0.00000,0.00000,0.00000
rno-miR-327-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-328	3.000	0.00226,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-329-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-33	15.000	0.00226,0.00159,0.00000,0.00000,0.00156,0.00196,0.00166,0.00237,0.00347,0.00153,0.00000,0.00083,0.00128,0.00000,0.00050,0.00000
rno-miR-330	3.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00000
rno-miR-331-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-331-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-333-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-335	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00153,0.00000,0.00000,0.00256,0.00000,0.00000,0.00000
rno-miR-336-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-337-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-337-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-338	16.000	0.00339,0.00000,0.00705,0.00242,0.00000,0.00196,0.00166,0.00356,0.00000,0.00000,0.00251,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-339-3p	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00196,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00256,0.00000,0.00000,0.00000
rno-miR-339-5p	7.000	0.00000,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00173,0.00000,0.00000,0.00166,0.00000,0.00150,0.00100,0.00000
rno-miR-340	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-341	6.000	0.00113,0.00159,0.00000,0.00242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-342-3p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-342-5p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00000
rno-miR-343-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-344	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-345	1.000	0.00000,0.00000,0.00176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-346	2.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00256,0.00000,0.00000,0.00000
rno-miR-347-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-349-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-34a	8.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00128,0.00000,0.00200,0.00296
rno-miR-34b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-34c	9.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00392,0.00498,0.00356,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-350-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-351	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-361-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-362-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-362-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-363	3.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00332,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-365-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-368	3.000	0.00226,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-369-3p	1.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-369-5p	1.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-370-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-374	14.000	0.00000,0.00000,0.00176,0.00000,0.00156,0.00000,0.00000,0.00356,0.00000,0.00153,0.00000,0.00000,0.00000,0.00150,0.00300,0.00099
rno-miR-375	43.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04159,0.02910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-376a	8.000	0.00226,0.00000,0.00000,0.00606,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-376b-3p	7.000	0.00339,0.00000,0.00000,0.00485,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-376b-5p	2.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-377-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-378	14.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00588,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00351,0.00197
rno-miR-379	10.000	0.00451,0.00079,0.00000,0.00242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00166,0.00000,0.00000,0.00000,0.00000
rno-miR-380	4.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-381	1.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-382	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-383-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-384-3p	3.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00392,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-384-5p	6.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00376,0.00000,0.00000,0.00000,0.00100,0.00000
rno-miR-409-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-409-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-410	2.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-411	9.000	0.00339,0.00000,0.00000,0.00364,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00376,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-412-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-421-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-421-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-423	4.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00153,0.00000,0.00083,0.00128,0.00000,0.00050,0.00000
rno-miR-425	29.000	0.00000,0.00079,0.00353,0.00000,0.00156,0.00196,0.00166,0.00000,0.00520,0.00613,0.00000,0.00000,0.00895,0.00150,0.00100,0.00592
rno-miR-429-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-431	2.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-433	6.000	0.00113,0.00000,0.00000,0.00364,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-434	7.000	0.00339,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00376,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-448-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-449a	3.000	0.00000,0.00000,0.00176,0.00000,0.00000,0.00000,0.00166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00150,0.00000,0.00000
rno-miR-449b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-450a-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-450b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-451-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-453-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-455	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00128,0.00150,0.00000,0.00000
rno-miR-463	2.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.00000
rno-miR-465-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-465-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-466b	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-466c	2.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-467a	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-471	1.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-483-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-483-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-484	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00150,0.00000,0.00000
rno-miR-485	3.000	0.00226,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-487b-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-488	18.000	0.00113,0.00556,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00581,0.00000,0.00000,0.00000,0.00000
rno-miR-489-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-490-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-493-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-494-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-495	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-496-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-497	15.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00347,0.00613,0.00251,0.00000,0.00512,0.00300,0.00050,0.00000
rno-miR-499-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-500	15.000	0.00000,0.00000,0.00176,0.00000,0.00312,0.00784,0.00000,0.00237,0.00000,0.00613,0.00000,0.00000,0.00000,0.00000,0.00100,0.00000
rno-miR-501-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-501-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-503	26.000	0.00000,0.00000,0.00176,0.00000,0.00156,0.00000,0.00166,0.00119,0.01040,0.02144,0.00000,0.00000,0.00000,0.00150,0.00050,0.00000
rno-miR-504-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-505-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-509-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-509-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
