matureform	total copies	hsa_Adrenocarcinoma-SW-mock,hsa_Adrenocarcinoma-SW-YFV,hsa_AML-HL60,hsa_AML-Kas1,hsa_AML-THP1,hsa_AML1-d0,hsa_AML1-d29,hsa_AML2-d0,hsa_AML2-d29,hsa_AML3-d0,hsa_AML3-d29,hsa_Astroblastoma-DD040800,hsa_Astrocytoma-FC020688,hsa_Astrocytoma-WL210995,hsa_B-ALL-REH,hsa_B-ALL1-d0,hsa_B-ALL2-d0,hsa_B-ALL2-d29,hsa_B-ALL3-d0,hsa_B-ALL3-d29,hsa_B-ALL4-d0,hsa_B-ALL4-d29,hsa_B-ALL5-d0,hsa_B-ALL5-d29,hsa_B-ALL6-d0,hsa_B-ALL6-d29,hsa_B-ALL7-d0,hsa_B-ALL7-d29,hsa_B-ALL8-d0,hsa_B-ALL8-d29,hsa_B-ALL8-d43,hsa_B-ALL9-d0,hsa_B-cell-CD19,hsa_B-cell-CD19-2,hsa_B-cell-CD19-pool,hsa_B-CLL-EHEB,hsa_B-CLL-Mec2,hsa_B-CLL1,hsa_B-CLL11,hsa_B-CLL12,hsa_B-CLL13,hsa_B-CLL4,hsa_B-CLL5,hsa_B-CLL5_2,hsa_B-CLL6,hsa_B-CLL7,hsa_B-CLL8,hsa_BL-BCBL1-new,hsa_BL-BCBL1-old,hsa_Breast-adenocarcinoma-MCF7,hsa_Breast-duct-carcinoma-SKBR3,hsa_Breast-duct-HCC38,hsa_Breast-epith-fiborcystic-MCF10A,hsa_Breast-invasive-duct-BT474,hsa_Breast-invasive-duct-T47,hsa_Burkitt-BL41-95-EBV,hsa_Burkitt-BL41-mock,hsa_Burkitt-CA-46,hsa_Burkitt-DG-75,hsa_Burkitt-patient1,hsa_Burkitt-patient2,hsa_Burkitt-patient3,hsa_Burkitt-Raji,hsa_Cerebellum-adult,hsa_Cervix-HeLa-adh,hsa_Cervix-HeLa-adh-2,hsa_Cervix-HeLa-CD4,hsa_Cervix-HeLa-HIV,hsa_Cervix-HeLa-IFNa,hsa_Cervix-HeLa-IFNg,hsa_Cervix-HeLa-susp,hsa_DC-stim,hsa_DC-unstim,hsa_Desmo-tumor-JN-Dsrct,hsa_DLBCL-DLBL1,hsa_DLBCL-DLBL2,hsa_DLBCL-DLBL3,hsa_DLBCL-DLBL4,hsa_DLBCL-Ly1,hsa_DLBCL-LY3,hsa_DLBCL-SUDHL6,hsa_Epididymis,hsa_Ewing-Sarcoma-A673,hsa_Fibrobl-CMV,hsa_Follic-Lymphoma-F1,hsa_Follic-Lymphoma-F2,hsa_Frontal-cortex-adult,hsa_Gliobl-SNB19,hsa_Gliobl-U87,hsa_Granulocytes-CD15,hsa_Heart,hsa_Hepatocell-carcinoma-Huh7-HCV,hsa_Hepatocell-carcinoma-Huh7-mock,hsa_Hepatoma-HepG2,hsa_Hepatoma-HepG2-HBV,hsa_Hepatoma-PLC,hsa_Hippocamp-adult,hsa_Hodgkin-KMH2,hsa_Hodgkin-L1236,hsa_Hodgkin-L428,hsa_Hodgkin-L591,hsa_HSC-CD34,hsa_Kidney-embryo-HEK293,hsa_Kidney-embryo-HEK293-6d,hsa_Kidney-embryo-HEK293-exp,hsa_Kidney-embryo-HEK293-Fas12,hsa_Liver,hsa_Lung-adenoc-A549-IFNa,hsa_Lung-adenoc-A549-IFNb,hsa_Lung-adenoc-A549-IFNg,hsa_Lung-adenoc-A549-mock,hsa_MC-Lymphoma-Granta-519,hsa_MC-Lymphoma-Jeko-1,hsa_MC-Lymphoma-JVM-2,hsa_MC-Lymphoma-M1,hsa_MC-Lymphoma-M2,hsa_Medullobl-DAOY,hsa_Midbrain-adult,hsa_Monocytes-CD14,hsa_MZ-Lymphoma-MZ2,hsa_Neurobl-BE2,hsa_Neurobl-SHSY5Y,hsa_Neurobl-SHSY5Y-IFNg-24h,hsa_Neurobl-SHSY5Y-RA,hsa_NK-CD56,hsa_Osteosarcoma-SAOS2,hsa_Osteosarcoma-U2Os-ind-24h,hsa_Osteosarcoma-U2Os-uninduced,hsa_Ovary,hsa_Pancreatic-islets,hsa_Pituitary,hsa_Placenta,hsa_Plasmocytoma-U266,hsa_Podocytes-Moins-diff,hsa_Podocytes-Moins-undiff,hsa_Prostata,hsa_renal_carcinoma-DH1,hsa_renal_carcinoma-DH1-diff-3d,hsa_renal_carcinoma-DH1-diff-6d,hsa_Seminoma-2073,hsa_Seminoma-2073-NE1,hsa_Spleen,hsa_T-ALL-Jurkat,hsa_T-ALL1-d0,hsa_T-ALL2-d0,hsa_T-ALL3-d0,hsa_T-ALL3-d29,hsa_T-ALL4-d0,hsa_T-ALL4-d29,hsa_T-ALL5-d0,hsa_T-ALL5-d29,hsa_T-cell-CD4,hsa_T-cell-CD4-2,hsa_T-cell-CD4-A301,hsa_T-cell-CD4-ACH2,hsa_T-cell-CD4-ACH2-stim,hsa_T-cell-CD4-effector,hsa_T-cell-CD4-memory,hsa_T-cell-CD4-naive,hsa_T-cell-CD8,hsa_T-cell-CD8-2,hsa_T-cell-CD8-naive,hsa_Teratocarcinoma-NT2-norm,hsa_Teratocarcinoma-NT2-RA,hsa_Teratocarcinoma-PA1,hsa_Testis,hsa_Thyroid,hsa_USSC,hsa_USSC-d1,hsa_USSC-d3,hsa_USSC-d7,hsa_Uterus
hsa-miR-203	39.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00126,0.00000,0.00000,0.00275,0.00971,0.00845,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00201,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00074,0.00000,0.00000
hsa-miR-204	23.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00892,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00201,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00305,0.00285,0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00348,0.00000,0.00000,0.00000,0.00000,0.00000
hsa-miR-205	143.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00408,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00491,0.00000,0.00000,0.00276,0.04959,0.00139,0.00592,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02041,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00076,0.00000,0.00061,0.00000,0.00000,0.00000,0.00000,0.01252,0.00000,0.00000,0.00000,0.00000,0.00000,0.02364,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01268,0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
hsa-miR-206	16.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00065,0.00111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00110,0.00000,0.00479,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00685,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00235,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00348,0.00000,0.00000,0.00000,0.00000,0.00000
hsa-miR-208-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
hsa-miR-208b	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00457,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
hsa-miR-20a	1013.833	0.01068,0.01298,0.00831,0.02899,0.02061,0.00487,0.00839,0.00137,0.00806,0.00616,0.00333,0.00342,0.00130,0.00111,0.01124,0.01458,0.00604,0.00118,0.01483,0.00395,0.00500,0.01653,0.00176,0.00949,0.00580,0.00000,0.00314,0.00164,0.00405,0.00794,0.00278,0.00401,0.00222,0.00000,0.00212,0.00136,0.00796,0.00074,0.00179,0.00145,0.00152,0.00000,0.00224,0.00278,0.00000,0.00090,0.00297,0.01923,0.01229,0.00252,0.00117,0.00645,0.00092,0.00509,0.00000,0.05124,0.03422,0.04354,0.02212,0.01016,0.01132,0.00572,0.01371,0.00000,0.01106,0.01654,0.00415,0.00000,0.01425,0.01119,0.00870,0.00137,0.00198,0.01105,0.00318,0.00243,0.00421,0.01073,0.00000,0.07882,0.00000,0.00000,0.00749,0.00000,0.00385,0.00000,0.00130,0.00399,0.00312,0.00000,0.00000,0.01667,0.01036,0.01520,0.00848,0.01219,0.00000,0.00845,0.01098,0.01156,0.01157,0.00772,0.02459,0.03994,0.03325,0.04025,0.00000,0.00737,0.00499,0.00524,0.00391,0.01105,0.05690,0.01325,0.00105,0.00196,0.00228,0.00000,0.00251,0.00433,0.00152,0.00539,0.01053,0.00000,0.00206,0.00000,0.01290,0.01265,0.00000,0.00000,0.00000,0.00000,0.02024,0.00148,0.00254,0.00000,0.00000,0.00287,0.00000,0.00735,0.00000,0.00000,0.00507,0.00796,0.01014,0.00000,0.01379,0.00261,0.00244,0.00354,0.00427,0.00307,0.00000,0.01160,0.01275,0.00510,0.00000,0.00188,0.00239,0.00000,0.00323,0.00231,0.00476,0.01268,0.01306,0.00146,0.00000,0.00000,0.00105,0.00000,0.00066,0.00000
hsa-miR-20b	80.833	0.01869,0.02920,0.00000,0.00000,0.00071,0.00000,0.00000,0.00000,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00099,0.00100,0.00000,0.00352,0.00000,0.00619,0.00000,0.00157,0.00082,0.00000,0.00000,0.00417,0.00080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00075,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00128,0.00044,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00105,0.00000,0.00000,0.00000,0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00078,0.00000,0.00000,0.00000,0.00735,0.01068,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00273,0.00510,0.00000,0.00000,0.00080,0.00000,0.00000,0.00000,0.00357,0.00000,0.00384,0.00000,0.00000,0.00420,0.00035,0.00000,0.00000,0.00000
hsa-miR-21	8820.000	0.19359,0.15693,0.00277,0.00000,0.00924,0.02242,0.01025,0.02060,0.00000,0.05239,0.00749,0.07635,0.01494,0.01782,0.00562,0.01193,0.01360,0.01535,0.01360,0.00592,0.00599,0.13636,0.02287,0.08729,0.01044,0.02188,0.00628,0.00740,0.03239,0.07143,0.00556,0.00481,0.01920,0.01520,0.01410,0.05027,0.08496,0.07068,0.04356,0.04212,0.02879,0.05039,0.06264,0.04306,0.02473,0.06047,0.05585,0.24038,0.21130,0.07296,0.00700,0.14378,0.08264,0.07771,0.02367,0.04100,0.01081,0.01802,0.06637,0.20993,0.08302,0.01259,0.04611,0.00000,0.13902,0.09191,0.09129,0.09091,0.13706,0.16418,0.30435,0.18617,0.23313,0.01694,0.07325,0.07543,0.04101,0.01907,0.00725,0.05911,0.01297,0.00983,0.05845,0.06640,0.03462,0.06682,0.00130,0.10180,0.10625,0.00544,0.00152,0.13333,0.09326,0.22571,0.33268,0.12401,0.00344,0.10386,0.02964,0.08566,0.12066,0.01764,0.00000,0.00639,0.00000,0.00392,0.00072,0.24211,0.22818,0.25950,0.18750,0.09024,0.01423,0.05904,0.02421,0.06170,0.09817,0.00268,0.05650,0.04442,0.00000,0.00000,0.00737,0.00137,0.01646,0.18033,0.22270,0.21287,0.00381,0.02562,0.00488,0.01276,0.11741,0.16100,0.14673,0.02191,0.06396,0.03948,0.05074,0.00000,0.00712,0.00545,0.00000,0.01909,0.02488,0.01812,0.00690,0.01044,0.02356,0.03685,0.14194,0.03749,0.03852,0.00268,0.00911,0.00000,0.04167,0.04143,0.01276,0.01630,0.02746,0.00231,0.00119,0.08873,0.03840,0.00146,0.01220,0.04622,0.04606,0.03487,0.03889,0.02284
hsa-miR-210	186.000	0.00267,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00083,0.00342,0.00000,0.00000,0.00000,0.00199,0.00000,0.00000,0.00124,0.00000,0.00000,0.00000,0.00264,0.00000,0.00116,0.00000,0.00000,0.00082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00962,0.00491,0.00000,0.00000,0.00092,0.00092,0.00000,0.00254,0.00878,0.01277,0.00000,0.00088,0.00113,0.00000,0.00458,0.00062,0.00000,0.00000,0.00000,0.00415,0.00000,0.00110,0.00000,0.00217,0.00000,0.00000,0.00147,0.00000,0.00081,0.00000,0.00358,0.00081,0.00493,0.01556,0.00000,0.00180,0.00000,0.00000,0.00000,0.00000,0.00000,0.00625,0.00000,0.00000,0.00000,0.00259,0.00149,0.00000,0.00072,0.00086,0.00483,0.00220,0.00884,0.00992,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00120,0.00105,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00162,0.00000,0.00273,0.00000,0.00000,0.00430,0.00055,0.00000,0.00000,0.00061,0.00000,0.00405,0.00000,0.00085,0.00000,0.00156,0.00144,0.00818,0.00000,0.00356,0.00000,0.00000,0.00080,0.00000,0.00072,0.00000,0.00000,0.00081,0.00213,0.00000,0.00000,0.00000,0.01874,0.01275,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00141,0.00000,0.00000,0.00000,0.00000,0.00140,0.00074,0.00132,0.00000
hsa-miR-211-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
hsa-miR-212-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
