matureform	total copies	mmuxrno_Neurobl-NG-dcAMP,mmuxrno_Neurobl-NG-norm,mmuxrno_Neurobl-NG-RA,mmu_Adipo-diff,mmu_Adipo-undiff,mmu_Alpha-pancreas-TC1,mmu_B-cell-K1-Tg-naive,mmu_B-cell-K2-Tg-anergic,mmu_B-cell-K4-WT,mmu_B-cell-spleen-IL4LPS24h,mmu_B-cell-spleen-IL4LPS48h,mmu_B-cell-spleen-IL4LPS72h,mmu_B-cell-spleen-IL4LPS8h,mmu_B-cell-spleen-unstim,mmu_B-lymphoma-A20_NP,mmu_B-lymphoma-A20_OP,mmu_B-lymphoma-S11,mmu_B-lymphoma-S11E,mmu_Beta-pancreas-MIN6,mmu_Brain-FMR-KO,mmu_Brain-WT,mmu_Cerebellum,mmu_Colon,mmu_Cortex,mmu_DC-GCSF,mmu_DC-unstim,mmu_Embryo-E11,mmu_Embryo-E12,mmu_Embryonic-kidney,mmu_ESC-fem,mmu_ESC-WT-frac-21,mmu_Eye,mmu_Fibrobl-3T12-20,mmu_Fibrobl-3T12-200,mmu_Fibrobl-3T12-MuHV,mmu_Fibrobl-MEF-HSV1-12h,mmu_Fibrobl-MEF-HSV1-6h,mmu_Fibrobl-MEF-HSV2-12h,mmu_Fibrobl-MEF-mock,mmu_Glomeruli,mmu_Heart,mmu_Hippocamp-HT22,mmu_Kidney,mmu_Kidney-collecting-duct,mmu_Liver,mmu_Lung,mmu_Midbrain,mmu_Neurobl-N1E-noFBS,mmu_Neurobl-N1E-norm,mmu_Neurobl-N2A,mmu_Neurobl-N2A-RA,mmu_Neurobl-N2A-TPA,mmu_Ovary,mmu_Placenta,mmu_Podocytes-K8-diff,mmu_Podocytes-K8-undiff,mmu_Skin,mmu_Small-intestine,mmu_Spermatogonia-C18,mmu_Spinal-Cord,mmu_Spleen,mmu_T-cell-CD8-conA,mmu_T-cell-CD8-ctrl,mmu_T-cell-CD8-polyIC,mmu_Teratocarcinoma-F9,mmu_Teratocarcinoma-P19,mmu_Testis,mmu_Thymus
mmu-miR-101a	80.500	0.00000,0.00000,0.00135,0.01299,0.00000,0.00000,0.00328,0.00446,0.00000,0.00000,0.00000,0.00000,0.00089,0.00000,0.00000,0.00118,0.00000,0.00000,0.00606,0.00197,0.00357,0.01087,0.00000,0.02105,0.00205,0.00103,0.00000,0.00310,0.00000,0.00597,0.00080,0.00000,0.00000,0.00000,0.00000,0.00258,0.00000,0.00000,0.00000,0.00237,0.00000,0.00138,0.00901,0.00000,0.00000,0.00000,0.00952,0.00000,0.00137,0.00000,0.00000,0.00000,0.00000,0.00131,0.00225,0.00269,0.01911,0.00000,0.00000,0.00000,0.00000,0.00630,0.01132,0.00458,0.00190,0.00092,0.00228,0.00000
mmu-miR-101b	57.500	0.00231,0.00380,0.00000,0.00000,0.00000,0.00465,0.00328,0.00000,0.00000,0.00098,0.00109,0.00000,0.00000,0.00120,0.00306,0.00236,0.00064,0.00375,0.00606,0.00000,0.00000,0.00000,0.00000,0.00000,0.00068,0.00000,0.00000,0.00000,0.00000,0.00000,0.00080,0.00000,0.00000,0.00000,0.00217,0.00172,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00199,0.00000,0.00000,0.00000,0.00286,0.00274,0.01056,0.00431,0.00401,0.00082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00213,0.00000,0.00000,0.00037,0.00000,0.00000,0.00190,0.00370,0.00130,0.00000
mmu-miR-103	42.000	0.00116,0.00000,0.00000,0.00000,0.00000,0.00000,0.00164,0.00223,0.00000,0.00000,0.00000,0.00000,0.00178,0.00120,0.00153,0.00118,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00137,0.00103,0.00000,0.00000,0.00116,0.00299,0.00159,0.00000,0.00000,0.00000,0.00109,0.00172,0.00319,0.00093,0.00000,0.00000,0.00000,0.00138,0.00000,0.00066,0.00000,0.00000,0.00000,0.00143,0.00137,0.00000,0.00108,0.00200,0.00247,0.00000,0.00000,0.00135,0.00000,0.00000,0.00107,0.00000,0.00000,0.00000,0.00000,0.00172,0.00000,0.00185,0.00228,0.00000
mmu-miR-105-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
mmu-miR-106a	32.833	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00877,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00794,0.01109,0.00000,0.00000
mmu-miR-106b	183.000	0.00578,0.00507,0.00538,0.00000,0.00000,0.00000,0.00000,0.00000,0.00339,0.00393,0.00109,0.00790,0.00267,0.00239,0.00000,0.00353,0.00515,0.01748,0.00000,0.00099,0.00000,0.00000,0.00000,0.00000,0.00205,0.00000,0.00107,0.00434,0.00522,0.00896,0.00478,0.00000,0.00000,0.00000,0.00760,0.00086,0.00000,0.00000,0.00756,0.00000,0.00000,0.00553,0.00000,0.01130,0.00000,0.00000,0.00000,0.00143,0.00412,0.00603,0.00216,0.00601,0.00247,0.00131,0.00450,0.00404,0.00000,0.00000,0.00320,0.00000,0.00000,0.00222,0.00094,0.00229,0.00952,0.01201,0.00195,0.00000
mmu-miR-107	7.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00164,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00108,0.00000,0.00082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00057,0.00000,0.00000,0.00130,0.00000
mmu-miR-10a	203.500	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00644,0.00310,0.02986,0.00000,0.00000,0.00000,0.00139,0.00135,0.00000,0.00000,0.00159,0.00280,0.00000,0.00947,0.00000,0.00000,0.00901,0.04452,0.00000,0.00680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00164,0.00000,0.03491,0.02423,0.00000,0.00000,0.00320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00092,0.00098,0.00000
mmu-miR-10b	153.500	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02148,0.01117,0.03739,0.00000,0.00000,0.00000,0.00000,0.00000,0.00217,0.00258,0.00000,0.00093,0.00216,0.01657,0.00000,0.00415,0.00000,0.00332,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00247,0.00131,0.00113,0.00673,0.00637,0.00000,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00260,0.00000
mmu-miR-122	55.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00215,0.00186,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00794,0.00000,0.00000,0.00000,0.47000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00065,0.00000
